FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e)
Rocky Turbine Compressor Station,1011877,,40.4639,-104.4039,Kersey,Weld,80624,Phillips 66 (50%);Spectra Energy Corp (50%);,26274
Ryan Gulch Compressor Station,1002941,,39.8981,-108.3347,"MEEKER, 23.3 MI W OF",Rio Blanco,81641,"WILLIAMS PARTNERS, LP (100%);",33803
SAMSON RESOURCES SPRING CREEK CS,1001067,,37.092635,-107.576296,IGNACIO,La Plata,81137,SAMSON RESOURCES (100%);,35473
SOUTH IGNACIO CDP,1006519,,37.054116,-107.625701,IGNACIO,La Plata,81137,SAMSON RESOURCES (100%);,26657
SPINDLE GAS PROCESSING PLANT,1002415,9101 WELD COUNTY RD 14,40.088944,-104.884194,FT LUPTON,WELD,80621,"DCP MIDSTREAM PARTNERS, LP (50%);SPECTRA ENERGY (25%);Phillips 66 (25%);",45312
"STERLING ETHANOL, LLC",1006055,450 ANGUS AVENUE,40.6375,-103.190556,STERLING,LOGAN,80751,STERLING ETHANOL LLC (100%);,53325
SUMMIT COUNTY LANDFILL,1005695,639 LANDFILL RD,39.608712,-105.997922,DILLON AREA,SUMMIT,80435,SUMMIT COUNTY (100%);,32873
SUNCOR ENERGY (USA) COMMERCE CITY REFINERY,1007923,5801 BRIGHTON BLVD,39.805556,-104.944444,COMMERCE CITY,ADAMS,80022,SUNCOR ENERGY (USA) INC (100%);,962525
Sage Creek Mine,1010512,36600 Routt County Road 27,40.444999,-107.13779,Hayden,ROUTT,81639,Peabody Energy Corporation (100%);,0
Sambrito Compressor Station,1001763,,37.0445,-107.4935,Durango,La Plata,81301,SOUTHERN UTE INDIAN TRIBE (51%);KINDER MORGAN (49%);,42845
"SourceGas, LLC - Arkansas",1006604,600 12th Street; Suite 300,39.722098,-105.135202,Golden,JEFFERSON,80401,ALINDA INVESTMENTS LLC (50%);AIRCRAFT SERVICES CORP - GENERAL  (50%);,61305
"SourceGas, LLC - Colorado",1004607,600 12th Street; Suite 300,39.722098,-105.135202,Golden,JEFFERSON,80401,ALINDA INVESTMENTS LLC (50%);AIRCRAFT SERVICES CORP - GENERAL  (50%);,16043
"SourceGas, LLC - Nebraska",1006605,600 12th Street; Suite 300,39.722098,-105.135202,Golden,JEFFERSON,80401,AIRCRAFT SERVICES CORP - GENERAL  (50%);ALINDA INVESTMENTS LLC (50%);,21233
"SourceGas, LLC - Wyoming",1006603,600 12th Street; Suite 300,39.722098,-105.135202,Golden,JEFFERSON,80401,ALINDA INVESTMENTS LLC (50%);AIRCRAFT SERVICES CORP - GENERAL  (50%);,10277
Spindle Hill Energy Center,1000486,6335 WELD COUNTY RD 19,40.0914,-104.8819,Fort Lupton,Weld,80621,MARUBENI POWER AMERICA INC (49%);INVENERGY LLC (51%);,109020
St. Vrain Compressor Station,1011904,,40.23199641,-104.8832681,Platteville,Weld,80651,ANADARKO PETROLEUM CORP (100%);,27732
Sterling Energy Investments LLC Centennial Gas Plant,1011986,47285 County Road 100,40.711642,-104.285426,Briggsdale,,80611,,36503
Story Gulch Compressor Station,1010414,370 17th Street Suite 1700,39.74346,-104.98796,Denver,DENVER COUNTY,80202,HUNTER RIDGE ENERGY SERVICES LLC (100%);,65390
Summit Natural Gas of Maine,1011282,7810 Shaffer Parkway,39.57476,-105.13261,Littleton,JEFFERSON COUNTY,80127,SUMMIT UTILITIES INC (100%);,17905
Summit Natural Gas of Missouri,1009519,7810 Shaffer Pkwy Suite 120,39.57476,-105.13261,Littleton,JEFFERSON COUNTY,80127,SUMMIT UTILITIES INC (100%);,108273
TOWER LANDFILL INC,1006044,8480 TOWER ROAD,39.853416,-104.767499,COMMERCE CITY,DENVER,80022,REPUBLIC SERVICES INC (100%);,22930
Thermo Greeley,1005902,846 North 6th Avenue,40.441466,-104.687297,Greeley,WELD COUNTY,80631,STARK THERMO LLC (100%);,0
Thermo Power & Electric LLC,1003334,510 18th Street,40.41011,-104.684424,Greeley,WELD,80631,Initium Power Partners (100%);,0
Twentymile Mine,1001682,29515 Route County Road #27,40.334417,-107.081476,Oak Creek,ROUTT COUNTY,80467,PEABODY ENERGY CORP (100%);,13802
Twin Landfill Corporation,1006834,20650 County Road 205,40.474444,-107.04,Milner,ROUTT COUNTY,80487,TWIN LANDFILL CORP (100%);,46041
US Air Force Academy,1005492,8120 Edgerton Drive,38.990611,-104.860572,USAFA,EL PASO,80840,US GOVERNMENT (%);,29966
University of Colorado Boulder - Utility Services,1002459,,40.0076,-105.2693,Boulder,Boulder,80309,UNIVERSITY OF COLORADO AT BOULDER - UTILITY SERVICES (100%);,31527
Valmont,1001463,1800 N 63RD ST,40.0195,-105.202,BOULDER,Boulder,80302,XCEL ENERGY (100%);,1110627
Valmont Combustion Turbine Facility,1001364,1800 N 63RD ST,40.0197,-105.202,BOULDER,Boulder,80302,SOUTHWEST GENERATION OPERATING CO (100%);,0
Vanguard - BAILEY COMPRESSOR STATION,1003047,,39.5075,-107.6464,Silt,Garfield,81652,VANGUARD NATURAL RESOURCES INC (100%);,52459
Vanguard - MAMM CREEK COMPRESSOR STATION,1003230,,39.4917,-107.7089,Silt,Garfield,81652,VANGUARD NATURAL RESOURCES INC (100%);,7756
Vollmar Compressor Station,1011910,,40.14429,-104.85966,Fort Lupton,Weld,80621,ANADARKO PETROLEUM CORP (100%);,33731
WASTE MGMT OF CO INC County Line,1007907,4200 E COUNTY LINE RD,39.5636,-104.9335,LITTLETON,DOUGLAS,80126,WASTE MANAGEMENT INC (100%);,5647
WESTERN AGGREGATES INCORPORATED,1004379,11728 HIGHWAY 93,39.90969,-105.2386,BOULDER,JEFFERSON COUNTY,80303,TEXAS INDUSTRIES INC (100%);,20284
WESTERN SUGAR COOP,1001823,18317 HIGHWAY 144,40.26269,-103.80612,FORT MORGAN,MORGAN,80701,WESTERN SUGAR COOPERATIVE (100%);,150686
"WIC Station 7938 Snake River, CO",1008148,18640 County Road 4,40.97969,-107.71353,Craig,MOFFAT COUNTY,81625,KINDER MORGAN INC (100%);,30332
WILGATH (FORMERLY ROC GAS) - SAGEBRUSH,1002937,,39.850311,-108.482382,RANGELY 21.0 MI. SE OF,Rio Blanco,81650,"WILLIAMS PARTNERS, LP (100%);",0
WILLOW CREEK GAS PLANT,1002319,20219 County Road 5,39.977742,-107.763621,Rifle,RIO BLANCO,81650,"WILLIAMS PARTNERS, LP (100%);",342782
Wattenberg Gas Plant,1003254,1909 Powhaton Road,39.746431,-104.681535,Aurora,ADAMS,80019,ANADARKO PETROLEUM CORP (100%);,72468
West Elk Mine,1010310,5174 Highway 133,38.92823,-107.44687,Somerset,GUNNISON COUNTY,81434,ARCH COAL INC  (100%);,492398
XTO - HILL RANCH #1,1005401,,37.0588,-104.8765,COKEDALE,Las Animas,81091,EXXONMOBIL CORP (100%);,24357
XTO - PICEANCE CREEK,1002673,,39.8933,-108.1947,MEEKER,Rio Blanco,81641,EXXON MOBIL CORP (100%);,24283
"YUMA ETHANOL, LLC",1002083,38480 COUNTY ROAD H,40.13,-102.68,YUMA,YUMA,80759,"Yuma Ethanol, LLC (100%);",49193
Zuni,1001464,1335 ZUNI ST,39.7369,-105.0169,DENVER,Denver,80204,XCEL ENERGY (100%);,23648
